# BUSCO version is: 2.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /bigdata/operations/pkgadmin/opt/linux/centos/7.x/x86_64/pkgs/funannotate/git-live/util/funannotate-BUSCO2.py -i /bigdata/stajichlab/shared/projects/ZyGoLife/CoCulture/annotate/funannot/predict_misc/genome.softmasked.fa -o piptocephalis_tieghemiana_rsa_1565 -l /opt/linux/centos/7.x/x86_64/pkgs/funannotate/git-live/DB/fungi_odb9/ -m genome -c 24 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C1OUP	Complete	scaffold_83	58399	65134	384.8	451
EOG092C1PRY	Complete	scaffold_229	24611	26242	538.1	403
EOG092C1RXZ	Complete	scaffold_7	163574	165201	598.1	419
EOG092C1TLO	Complete	scaffold_272	10029	15320	276.0	577
EOG092C1U6R	Complete	scaffold_148	28964	30864	588.5	410
EOG092C1UDO	Complete	scaffold_290	7319	11324	470.0	338
EOG092C1URX	Complete	scaffold_38	46868	48732	620.0	366
EOG092C1VMQ	Complete	scaffold_200	25191	27764	470.0	368
EOG092C1VT8	Complete	scaffold_429	9436	11829	634.1	400
EOG092C1W1B	Complete	scaffold_109	41638	47540	679.2	429
EOG092C1WBG	Missing
EOG092C1YG7	Complete	scaffold_46	86724	88472	381.9	282
EOG092C1ZRG	Complete	scaffold_135	24333	26083	372.0	270
EOG092C20OL	Complete	scaffold_383	2521	9502	338.7	280
EOG092C21L2	Complete	scaffold_119	18347	19874	644.0	410
EOG092C221B	Complete	scaffold_26	54815	56387	87.9	139
EOG092C22C1	Complete	scaffold_194	29517	31009	544.9	374
EOG092C236M	Complete	scaffold_114	25838	27820	564.2	436
EOG092C23X9	Complete	scaffold_232	30943	32712	592.9	402
EOG092C24CZ	Complete	scaffold_233	18697	20544	879.3	430
EOG092C24GU	Complete	scaffold_9	49942	56105	491.7	410
EOG092C27SX	Fragmented	scaffold_4	55281	57478	149.5	184
EOG092C28F5	Complete	scaffold_218	16128	17849	533.2	301
EOG092C28I3	Complete	scaffold_156	149	3288	1038.5	637
EOG092C2D1V	Complete	scaffold_99	52276	54927	634.9	426
EOG092C2DPS	Complete	scaffold_13	102621	104847	496.8	365
EOG092C2GKC	Complete	scaffold_305	9185	11047	479.1	362
EOG092C2GWG	Missing
EOG092C2HER	Complete	scaffold_97	13313	14428	263.0	227
EOG092C2IFF	Complete	scaffold_34	57744	64105	387.8	335
EOG092C2IG9	Complete	scaffold_211	25436	29374	245.3	216
EOG092C2JLG	Fragmented	scaffold_155	41574	42390	206.3	161
EOG092C2LSI	Complete	scaffold_315	3135	3965	267.0	204
EOG092C2M8E	Complete	scaffold_75	5217	6795	80.7	144
EOG092C2MTS	Complete	scaffold_98	51216	52905	271.5	269
EOG092C2OKO	Complete	scaffold_155	12136	13709	601.0	334
EOG092C2Q7B	Complete	scaffold_171	40835	43117	171.5	171
EOG092C2Q7F	Complete	scaffold_98	58931	60780	628.6	442
EOG092C2RKX	Complete	scaffold_186	26695	28323	155.4	213
EOG092C2S2R	Complete	scaffold_216	11718	13520	167.7	267
EOG092C2S9V	Complete	scaffold_58	66156	67612	687.8	368
EOG092C2SCC	Complete	scaffold_361	13127	14290	599.5	341
EOG092C2SEF	Fragmented	scaffold_31	89857	90877	399.7	258
EOG092C2SKV	Complete	scaffold_109	52019	55243	452.0	355
EOG092C2SMS	Complete	scaffold_96	38970	40732	201.5	197
EOG092C2TXG	Complete	scaffold_7	121573	124460	416.2	346
EOG092C2UIQ	Complete	scaffold_49	5737	7689	459.6	388
EOG092C2V3O	Complete	scaffold_7	136117	137518	589.9	348
EOG092C2VGW	Complete	scaffold_11	21998	28380	281.3	275
EOG092C2VJL	Complete	scaffold_77	59706	61512	481.0	321
EOG092C2X60	Complete	scaffold_102	55068	56306	88.9	135
EOG092C2X6U	Fragmented	scaffold_104	137	1777	480.8	286
EOG092C2YBO	Complete	scaffold_219	25336	26532	482.5	304
EOG092C2Z4E	Complete	scaffold_72	2527	4519	312.9	311
EOG092C2ZCA	Complete	scaffold_350	11751	13814	442.8	302
EOG092C317A	Complete	scaffold_182	37490	39287	389.3	295
EOG092C31ZS	Complete	scaffold_11	41307	42728	482.5	370
EOG092C330M	Complete	scaffold_61	67955	69539	325.9	303
EOG092C33JO	Complete	scaffold_61	70407	72008	332.4	301
EOG092C34FN	Complete	scaffold_337	13394	14987	310.2	239
EOG092C34KH	Complete	scaffold_294	12498	14549	311.4	273
EOG092C355W	Complete	scaffold_93	60896	62858	299.1	408
EOG092C35RK	Complete	scaffold_23	45634	52582	311.0	237
EOG092C35SR	Complete	scaffold_81	19933	22158	547.3	377
EOG092C36CW	Complete	scaffold_2	179958	181699	449.7	276
EOG092C36IX	Complete	scaffold_107	38825	40351	239.0	292
EOG092C36RH	Complete	scaffold_376	2670	3944	276.4	264
EOG092C3703	Fragmented	scaffold_126	24516	25459	167.1	210
EOG092C37AK	Complete	scaffold_107	52375	53693	418.1	253
EOG092C38HU	Missing
EOG092C3D5H	Complete	scaffold_194	22043	24859	184.6	407
EOG092C3DT5	Complete	scaffold_37	34165	36852	268.1	310
EOG092C3DV0	Complete	scaffold_173	13446	15205	272.9	247
EOG092C3ENF	Complete	scaffold_161	5845	6877	291.4	223
EOG092C3F88	Complete	scaffold_212	33786	35500	187.8	278
EOG092C3GCF	Complete	scaffold_13	34054	36465	285.7	307
EOG092C3HLI	Complete	scaffold_176	24775	28022	308.2	293
EOG092C3IJW	Fragmented	scaffold_110	57079	57882	360.1	232
EOG092C3JEN	Complete	scaffold_35	34641	35959	441.5	275
EOG092C3JIJ	Complete	scaffold_6	71269	73488	242.9	288
EOG092C3L9G	Complete	scaffold_266	19514	22610	205.0	154
EOG092C3LZ4	Complete	scaffold_58	7310	9280	343.8	291
EOG092C3MKB	Duplicated	scaffold_237	2934	3866	280.6	253
EOG092C3MKB	Duplicated	scaffold_594	6247	7470	266.6	255
EOG092C3MZF	Complete	scaffold_31	27283	27975	109.3	62
EOG092C3N1W	Complete	scaffold_65	401	2739	354.7	385
EOG092C3ND9	Complete	scaffold_16	120283	121317	206.5	190
EOG092C3NTC	Fragmented	scaffold_9	44753	46113	150.9	162
EOG092C3NVX	Complete	scaffold_213	2280	4357	465.4	343
EOG092C3P8T	Complete	scaffold_62	74258	75307	386.2	293
EOG092C3QQ6	Complete	scaffold_340	866	1804	436.5	266
EOG092C3RZP	Complete	scaffold_197	25161	26924	239.3	223
EOG092C3SC6	Complete	scaffold_393	7808	9257	269.5	211
EOG092C3TX5	Complete	scaffold_219	1099	3211	177.1	156
EOG092C3VJP	Complete	scaffold_4	29083	33621	188.2	147
EOG092C3WW5	Complete	scaffold_53	19553	23423	100.9	160
EOG092C3Z6E	Fragmented	scaffold_292	17738	18683	114.1	159
EOG092C3ZSC	Complete	scaffold_245	4306	4896	169.9	146
EOG092C40AW	Complete	scaffold_29	11454	13349	447.2	262
EOG092C410Y	Complete	scaffold_97	52688	54215	216.6	165
EOG092C42ZN	Complete	scaffold_143	32277	33878	235.3	235
EOG092C441A	Complete	scaffold_295	3661	9702	258.7	244
EOG092C44EY	Complete	scaffold_250	15558	17004	426.9	261
EOG092C44LK	Complete	scaffold_100	30458	32634	138.9	113
EOG092C44YB	Fragmented	scaffold_45	77377	83561	245.7	189
EOG092C46M0	Complete	scaffold_6	35724	39085	210.8	160
EOG092C46VR	Complete	scaffold_304	10298	11326	143.8	178
EOG092C47TW	Missing
EOG092C481U	Complete	scaffold_115	16691	18992	320.9	252
EOG092C484E	Complete	scaffold_53	78799	79693	292.5	220
EOG092C48JI	Complete	scaffold_17	30653	31954	180.4	151
EOG092C495C	Complete	scaffold_10	42166	44685	178.8	140
EOG092C4A9Y	Complete	scaffold_283	18370	20522	219.7	218
EOG092C4AQW	Fragmented	scaffold_3	10790	13946	79.6	83
EOG092C4AZQ	Complete	scaffold_98	54060	55760	306.9	189
EOG092C4BDP	Complete	scaffold_104	10705	11442	337.3	202
EOG092C4C2A	Complete	scaffold_114	28508	30168	174.3	122
EOG092C4CCH	Complete	scaffold_311	2492	3598	337.9	187
EOG092C4CGV	Fragmented	scaffold_590	464	946	101.1	127
EOG092C4CNP	Complete	scaffold_311	702	6322	138.3	181
EOG092C4D28	Complete	scaffold_2	10321	13518	240.0	192
EOG092C4D5B	Complete	scaffold_585	2587	4078	346.0	229
EOG092C4DAK	Complete	scaffold_396	7550	8630	244.7	192
EOG092C4EGW	Complete	scaffold_41	25165	27448	388.3	312
EOG092C4F6L	Complete	scaffold_56	28325	29199	314.0	171
EOG092C4FRI	Complete	scaffold_215	24569	28625	279.8	215
EOG092C4FYC	Complete	scaffold_26	47182	47994	350.6	198
EOG092C4H6Z	Complete	scaffold_12	50825	54730	156.5	159
EOG092C4HB9	Complete	scaffold_25	22547	23197	344.5	176
EOG092C4HDL	Complete	scaffold_12	67879	69306	160.5	154
EOG092C4IM8	Complete	scaffold_26	36339	37418	294.7	205
EOG092C4IR2	Complete	scaffold_554	220	846	153.6	109
EOG092C4IT1	Complete	scaffold_240	8907	9860	272.9	252
EOG092C4IV8	Complete	scaffold_89	18476	19332	344.7	215
EOG092C4IXB	Complete	scaffold_239	26727	31094	129.2	117
EOG092C4IYM	Complete	scaffold_79	10692	13134	314.4	425
EOG092C4JA1	Complete	scaffold_107	36267	38555	187.5	135
EOG092C4JEJ	Complete	scaffold_162	32175	33612	293.7	177
EOG092C4JF2	Complete	scaffold_91	13867	14702	279.9	204
EOG092C4JNL	Complete	scaffold_201	30831	32306	88.9	162
EOG092C4JOE	Complete	scaffold_15	109460	110697	166.3	179
EOG092C4JSY	Complete	scaffold_8	39174	39949	99.7	80
EOG092C4JUE	Complete	scaffold_61	39292	40486	340.5	227
EOG092C4KTI	Complete	scaffold_187	21658	25235	195.5	167
EOG092C4LP2	Complete	scaffold_101	56927	58588	359.9	172
EOG092C4LUM	Complete	scaffold_30	39458	41174	182.1	136
EOG092C4LX2	Complete	scaffold_2	76763	78530	84.2	93
EOG092C4N4W	Complete	scaffold_337	806	1895	148.6	176
EOG092C4N9L	Complete	scaffold_253	874	1961	284.9	179
EOG092C4P58	Complete	scaffold_302	22044	23430	257.4	185
EOG092C4PD0	Complete	scaffold_1	113809	114714	201.4	175
EOG092C4PIQ	Complete	scaffold_103	15139	15936	165.6	146
EOG092C4PJG	Complete	scaffold_239	19899	21061	245.0	215
EOG092C4PYA	Complete	scaffold_440	774	1220	210.0	128
EOG092C4Q5B	Complete	scaffold_145	37659	38747	181.1	124
EOG092C4R9E	Complete	scaffold_88	53343	54833	377.4	335
EOG092C4RWB	Complete	scaffold_577	6153	7214	112.7	201
EOG092C4S0G	Fragmented	scaffold_36	30734	31258	43.7	122
EOG092C4SHL	Complete	scaffold_74	54938	57351	74.4	66
EOG092C4SQZ	Complete	scaffold_347	4276	5670	164.1	189
EOG092C4SZT	Complete	scaffold_55	64505	65793	121.6	158
EOG092C4UA5	Complete	scaffold_18	85214	87121	354.0	277
EOG092C4UH1	Complete	scaffold_30	99573	100645	311.8	194
EOG092C4UKX	Complete	scaffold_26	69204	69933	165.3	133
EOG092C4V3H	Complete	scaffold_6	41328	42362	101.5	120
EOG092C4VOX	Complete	scaffold_197	25406	28326	143.4	163
EOG092C4VXI	Complete	scaffold_102	13461	16259	337.8	275
EOG092C4WQO	Complete	scaffold_212	31687	33309	110.0	127
EOG092C4X4T	Complete	scaffold_32	40716	41419	238.5	156
EOG092C4X4U	Complete	scaffold_6	117422	118227	252.7	161
EOG092C4Y4I	Complete	scaffold_47	37834	38780	247.9	164
EOG092C4ZUJ	Complete	scaffold_23	102379	103133	191.5	142
EOG092C4ZVL	Complete	scaffold_68	17878	18660	383.7	225
EOG092C50DB	Complete	scaffold_81	50936	51933	49.8	73
EOG092C50PJ	Complete	scaffold_90	44978	45577	333.3	179
EOG092C51AW	Complete	scaffold_303	19238	20101	206.4	197
EOG092C51LH	Complete	scaffold_588	613	1405	242.2	153
EOG092C5246	Complete	scaffold_14	48565	50014	145.0	171
EOG092C52LO	Missing
EOG092C52QV	Missing
EOG092C52XD	Complete	scaffold_31	64579	65337	231.0	185
EOG092C53PI	Complete	scaffold_121	47104	47619	262.4	152
EOG092C54AQ	Complete	scaffold_35	66127	67336	267.9	153
EOG092C54E5	Missing
EOG092C54JK	Complete	scaffold_369	6988	7852	173.7	132
EOG092C54Q4	Complete	scaffold_83	23642	26391	166.5	130
EOG092C54X6	Missing
EOG092C54XZ	Complete	scaffold_323	11373	12230	70.6	49
EOG092C5518	Fragmented	scaffold_6	119208	120202	181.6	107
EOG092C55QK	Complete	scaffold_263	27607	28252	69.6	102
EOG092C56A1	Complete	scaffold_35	86104	90944	106.0	138
EOG092C56EC	Complete	scaffold_163	40060	41308	178.0	179
EOG092C57J7	Complete	scaffold_139	39777	40220	140.4	115
EOG092C57KP	Complete	scaffold_125	51739	53090	186.8	167
EOG092C580G	Complete	scaffold_227	3383	5502	163.9	145
EOG092C58AK	Complete	scaffold_86	20148	22762	94.8	123
EOG092C58OI	Complete	scaffold_39	59995	60465	211.3	125
EOG092C59CG	Complete	scaffold_4	41839	43133	290.5	188
EOG092C59G3	Complete	scaffold_20	83555	88180	270.5	311
EOG092C59NU	Complete	scaffold_296	7681	10528	131.3	150
EOG092C59RA	Missing
EOG092C5A9A	Duplicated	scaffold_471	3339	4006	151.9	93
EOG092C5A9A	Duplicated	scaffold_77	18464	19227	151.6	95
EOG092C5AR8	Complete	scaffold_159	21542	22516	184.9	193
EOG092C5BSI	Complete	scaffold_360	3048	3482	183.7	126
EOG092C5BSS	Complete	scaffold_32	99516	100411	139.0	110
EOG092C5BZ8	Complete	scaffold_115	53196	54750	249.8	163
EOG092C5DTV	Missing
EOG092C5E45	Complete	scaffold_278	5549	6572	199.8	123
EOG092C5E5Z	Complete	scaffold_57	8779	9180	196.7	116
EOG092C5EQR	Fragmented	scaffold_53	72386	74818	73.2	57
EOG092C5G05	Fragmented	scaffold_336	1	444	98.4	75
EOG092C5G2T	Complete	scaffold_44	82927	83627	226.6	153
EOG092C5GXJ	Complete	scaffold_379	15753	16340	126.6	131
EOG092C5HF0	Duplicated	scaffold_133	39085	41396	63.0	70
EOG092C5HF0	Duplicated	scaffold_187	28323	30902	53.9	69
EOG092C5HRI	Complete	scaffold_43	16396	21750	128.9	103
EOG092C5JQL	Complete	scaffold_262	12606	13140	102.4	87
EOG092C5K7L	Complete	scaffold_301	4557	7143	184.9	118
EOG092C5KDG	Complete	scaffold_17	55398	56084	239.5	152
EOG092C5KXX	Complete	scaffold_76	50098	50883	200.7	120
EOG092C5L1U	Complete	scaffold_218	18313	19135	192.8	139
EOG092C5L7Q	Complete	scaffold_130	51196	51662	109.8	89
EOG092C5N82	Complete	scaffold_101	49046	49748	92.3	106
EOG092C5NLC	Complete	scaffold_69	30179	31022	48.5	80
EOG092C5O2N	Complete	scaffold_39	75426	76602	86.5	97
EOG092C5OAL	Complete	scaffold_52	63308	63676	140.8	93
EOG092C5OPO	Complete	scaffold_44	26020	26580	80.6	68
EOG092C5OR3	Complete	scaffold_55	62540	63405	137.2	87
EOG092C5Q82	Complete	scaffold_136	31135	31864	249.9	143
EOG092C5QTG	Complete	scaffold_6	99766	100128	119.5	92
EOG092C5S4U	Missing
EOG092C5T6H	Missing
EOG092C5U93	Complete	scaffold_30	54011	54869	162.6	107
EOG092C5UXM	Complete	scaffold_702	3779	5041	57.2	75
EOG092C5V3D	Complete	scaffold_125	19809	20860	177.4	191
EOG092C5XAS	Complete	scaffold_46	17361	17904	78.0	90
EOG092C5XAZ	Missing
EOG092C5Z2K	Complete	scaffold_70	39310	40164	104.1	77
EOG092C608K	Complete	scaffold_16	84910	86514	93.9	163
